idAlt,comfort,restaurant,commute_time,cost,swimming_pool,hammam
0,2*,NO,45-30,180-100,NO,NO
1,2*,NO,45-30,180-100,NO,YES
2,2*,NO,45-30,180-100,YES,NO
3,2*,NO,45-30,180-100,YES,YES
4,2*,NO,45-30,100-50,NO,NO
5,2*,NO,45-30,100-50,NO,YES
6,2*,NO,45-30,100-50,YES,NO
7,2*,NO,45-30,100-50,YES,YES
8,2*,NO,30-15,180-100,NO,NO
9,2*,NO,30-15,180-100,NO,YES
10,2*,NO,30-15,180-100,YES,NO
11,2*,NO,30-15,180-100,YES,YES
12,2*,NO,30-15,100-50,NO,NO
13,2*,NO,30-15,100-50,NO,YES
14,2*,NO,30-15,100-50,YES,NO
15,2*,NO,30-15,100-50,YES,YES
16,2*,YES,45-30,180-100,NO,NO
17,2*,YES,45-30,180-100,NO,YES
18,2*,YES,45-30,180-100,YES,NO
19,2*,YES,45-30,180-100,YES,YES
20,2*,YES,45-30,100-50,NO,NO
21,2*,YES,45-30,100-50,NO,YES
22,2*,YES,45-30,100-50,YES,NO
23,2*,YES,45-30,100-50,YES,YES
24,2*,YES,30-15,180-100,NO,NO
25,2*,YES,30-15,180-100,NO,YES
26,2*,YES,30-15,180-100,YES,NO
27,2*,YES,30-15,180-100,YES,YES
28,2*,YES,30-15,100-50,NO,NO
29,2*,YES,30-15,100-50,NO,YES
30,2*,YES,30-15,100-50,YES,NO
32,4*,NO,45-30,180-100,NO,NO
33,4*,NO,45-30,180-100,NO,YES
34,4*,NO,45-30,180-100,YES,NO
35,4*,NO,45-30,180-100,YES,YES
36,4*,NO,45-30,100-50,NO,NO
37,4*,NO,45-30,100-50,NO,YES
38,4*,NO,45-30,100-50,YES,NO
39,4*,NO,45-30,100-50,YES,YES
40,4*,NO,30-15,180-100,NO,NO
41,4*,NO,30-15,180-100,NO,YES
42,4*,NO,30-15,180-100,YES,NO
43,4*,NO,30-15,180-100,YES,YES
44,4*,NO,30-15,100-50,NO,NO
45,4*,NO,30-15,100-50,NO,YES
46,4*,NO,30-15,100-50,YES,NO
48,4*,YES,45-30,180-100,NO,NO
49,4*,YES,45-30,180-100,NO,YES
50,4*,YES,45-30,180-100,YES,NO
51,4*,YES,45-30,180-100,YES,YES
52,4*,YES,45-30,100-50,NO,NO
53,4*,YES,45-30,100-50,NO,YES
54,4*,YES,45-30,100-50,YES,NO
56,4*,YES,30-15,180-100,NO,NO
57,4*,YES,30-15,180-100,NO,YES
58,4*,YES,30-15,180-100,YES,NO
60,4*,YES,30-15,100-50,NO,NO
