idAlt,affordability,metropoleshippingfee,overseasshippingfee,quality,reputation,washable,customizable
10,expensive,NO,YES,high,good,YES,YES
11,expensive,YES,NO,high,fair,YES,YES
12,expensive,YES,YES,high,fair,NO,NO
13,acceptable,NO,NO,good,good,YES,YES
14,acceptable,NO,YES,good,good,NO,NO
15,acceptable,YES,NO,good,fair,NO,NO
16,expensive,YES,YES,good,fair,YES,NO
17,acceptable,NO,YES,good,fair,NO,YES
18,expensive,YES,NO,good,fair,YES,YES
19,expensive,NO,YES,high,good,NO,NO
20,acceptable,NO,NO,high,fair,NO,NO
