model,mnd-value,best-alternative,challengers
model106.csv,3,125,"['234', '134', '34']"
model187.csv,2,134,"['125', '25']"
model26.csv,2,145,"['235', '234']"
model507.csv,2,34,"['25', '15']"
model289.csv,2,145,"['235', '234']"
model67.csv,4,15,"['234', '34', '24', '23']"
model390.csv,2,15,"['24', '23']"
model394.csv,3,234,"['145', '135', '125']"
model97.csv,3,34,"['125', '25', '15']"
model306.csv,2,145,"['235', '234']"
model391.csv,2,234,"['135', '125']"
model216.csv,3,34,"['125', '25', '15']"
model71.csv,3,125,"['234', '134', '34']"
model33.csv,4,15,"['234', '34', '24', '23']"
model239.csv,3,15,"['34', '24', '23']"
model294.csv,4,15,"['234', '34', '24', '23']"
model2.csv,4,15,"['234', '34', '24', '23']"
model426.csv,4,15,"['234', '34', '24', '23']"
model109.csv,3,34,"['125', '25', '15']"
model440.csv,4,15,"['234', '34', '24', '23']"
model300.csv,3,15,"['34', '24', '23']"
model69.csv,4,15,"['234', '34', '24', '23']"
model149.csv,4,15,"['234', '34', '24', '23']"
model348.csv,2,234,"['135', '125']"
model50.csv,2,145,"['235', '234']"
model463.csv,3,15,"['34', '24', '23']"
model180.csv,3,34,"['125', '25', '15']"
model415.csv,2,145,"['235', '234']"
model47.csv,3,34,"['125', '25', '15']"
model14.csv,3,125,"['234', '134', '34']"
model173.csv,3,125,"['234', '134', '34']"
model197.csv,2,134,"['125', '25']"
model486.csv,2,234,"['135', '125']"
model262.csv,4,15,"['234', '34', '24', '23']"
model314.csv,3,15,"['34', '24', '23']"
model287.csv,2,145,"['235', '234']"
model39.csv,2,145,"['235', '234']"
model329.csv,3,15,"['34', '24', '23']"
model153.csv,2,145,"['235', '234']"
model469.csv,3,234,"['145', '135', '125']"
model101.csv,4,15,"['234', '34', '24', '23']"
model81.csv,3,34,"['125', '25', '15']"
model328.csv,3,15,"['34', '24', '23']"
model302.csv,3,15,"['34', '24', '23']"
model368.csv,2,145,"['235', '234']"
model455.csv,2,234,"['135', '125']"
model356.csv,4,15,"['234', '34', '24', '23']"
model339.csv,2,234,"['135', '125']"
model392.csv,2,234,"['135', '125']"
model470.csv,3,234,"['145', '135', '125']"
model159.csv,3,34,"['125', '25', '15']"
model313.csv,2,145,"['235', '234']"
model140.csv,3,34,"['125', '25', '15']"
model29.csv,3,34,"['125', '25', '15']"
model433.csv,3,15,"['34', '24', '23']"
model245.csv,2,145,"['235', '234']"
model430.csv,3,15,"['34', '24', '23']"
model141.csv,2,145,"['235', '234']"
