model,metric-value,number-of-alt-considered,metric-value-percent,best-alt-not-explainable
model106.csv,16,20,80.0,"['235', '125', '25', '15']"
model187.csv,17,21,81.0,"['235', '134', '125', '34']"
model26.csv,17,22,77.3,"['234', '134', '125', '34', '24']"
model507.csv,20,27,74.1,"['235', '135', '134', '45', '34', '15', '23']"
model289.csv,18,24,75.0,"['234', '125', '124', '25', '34', '24']"
model67.csv,16,18,88.9,"['145', '15']"
model390.csv,21,24,87.5,"['135', '134', '15']"
model394.csv,20,24,83.3,"['234', '134', '24', '23']"
model97.csv,21,24,87.5,"['135', '34', '15']"
model306.csv,17,22,77.3,"['145', '234', '25', '34', '24']"
model391.csv,19,24,79.2,"['145', '234', '25', '24', '15']"
model216.csv,18,25,72.0,"['235', '145', '234', '34', '24', '15', '23']"
model71.csv,16,20,80.0,"['145', '125', '25', '15']"
model33.csv,17,18,94.4,['15']
model239.csv,20,21,95.2,['134']
model294.csv,16,18,88.9,"['145', '15']"
model2.csv,17,17,100.0,[]
model426.csv,18,20,90.0,"['145', '15']"
model109.csv,17,20,85.0,"['235', '134', '34']"
model440.csv,17,19,89.5,"['235', '15']"
model300.csv,19,21,90.5,"['145', '25']"
model69.csv,17,19,89.5,"['145', '15']"
model149.csv,17,19,89.5,"['145', '15']"
model348.csv,18,25,72.0,"['235', '145', '125', '124', '25', '15', '23']"
model50.csv,17,22,77.3,"['135', '125', '134', '25', '15']"
model463.csv,20,25,80.0,"['235', '125', '35', '15', '23']"
model180.csv,17,20,85.0,"['235', '134', '34']"
model415.csv,20,26,76.9,"['145', '234', '35', '24', '15', '14']"
model47.csv,19,21,90.5,"['134', '34']"
model14.csv,17,21,81.0,"['125', '134', '25', '15']"
model173.csv,16,18,88.9,"['235', '234']"
model197.csv,19,23,82.6,"['235', '134', '125', '34']"
model486.csv,16,26,61.5,"['235', '145', '234', '125', '124', '25', '34', '24', '15', '23']"
model262.csv,19,20,95.0,['15']
model314.csv,20,24,83.3,"['125', '35', '25', '15']"
model287.csv,19,24,79.2,"['135', '134', '124', '34', '15']"
model39.csv,16,20,80.0,"['234', '125', '25', '34']"
model329.csv,18,20,90.0,"['235', '234']"
model153.csv,14,20,70.0,"['145', '234', '125', '134', '25', '34']"
model469.csv,20,25,80.0,"['234', '35', '34', '24', '23']"
model101.csv,15,16,93.8,['235']
model81.csv,18,21,85.7,"['145', '134', '34']"
model328.csv,17,19,89.5,"['235', '234']"
model302.csv,18,22,81.8,"['145', '125', '25', '15']"
model368.csv,19,23,82.6,"['145', '234', '134', '34']"
model455.csv,18,24,75.0,"['145', '234', '134', '34', '24', '15']"
model356.csv,16,17,94.1,['145']
model339.csv,21,24,87.5,"['145', '25', '15']"
model392.csv,19,24,79.2,"['145', '234', '134', '24', '15']"
model470.csv,20,25,80.0,"['234', '124', '34', '24', '23']"
model159.csv,18,21,85.7,"['145', '134', '34']"
model313.csv,18,23,78.3,"['145', '234', '134', '34', '24']"
model140.csv,21,25,84.0,"['145', '34', '15', '14']"
model29.csv,20,23,87.0,"['234', '34', '24']"
model433.csv,21,23,91.3,"['145', '134']"
model245.csv,18,22,81.8,"['234', '134', '34', '24']"
model430.csv,20,22,90.9,"['145', '25']"
model141.csv,21,25,84.0,"['145', '125', '15', '14']"
model206.csv,19,24,79.2,"['234', '125', '25', '24', '23']"
model243.csv,17,22,77.3,"['135', '234', '134', '34', '15']"
model105.csv,17,19,89.5,"['235', '234']"
model435.csv,23,24,95.8,['124']
model478.csv,18,26,69.2,"['145', '234', '134', '124', '34', '24', '15', '14']"
model19.csv,18,22,81.8,"['135', '125', '25', '15']"
model253.csv,17,23,73.9,"['234', '125', '124', '25', '34', '24']"
model130.csv,18,23,78.3,"['235', '234', '134', '34', '24']"
model466.csv,18,25,72.0,"['235', '135', '234', '124', '34', '15', '23']"
model271.csv,18,22,81.8,"['234', '134', '34', '24']"
model386.csv,19,23,82.6,"['235', '125', '134', '15']"
model464.csv,20,25,80.0,"['235', '125', '124', '15', '23']"
model103.csv,16,18,88.9,"['235', '15']"
model361.csv,18,20,90.0,"['145', '234']"
model349.csv,18,25,72.0,"['235', '145', '134', '35', '34', '15', '23']"
model258.csv,17,18,94.4,['15']
model61.csv,21,24,87.5,"['135', '34', '15']"
model23.csv,18,22,81.8,"['234', '125', '25', '24']"
model409.csv,19,25,76.0,"['234', '125', '35', '25', '24', '23']"
model52.csv,17,22,77.3,"['135', '134', '125', '34', '15']"
model79.csv,16,21,76.2,"['145', '234', '125', '25', '34']"
model424.csv,16,18,88.9,"['145', '15']"
model188.csv,18,22,81.8,"['235', '125', '25', '15']"
model210.csv,20,25,80.0,"['145', '135', '34', '15', '14']"
model265.csv,20,21,95.2,['134']
model25.csv,18,22,81.8,"['234', '134', '34', '24']"
model178.csv,15,20,75.0,"['235', '234', '125', '25', '34']"
model494.csv,21,27,77.8,"['145', '125', '123', '25', '15', '14']"
model449.csv,21,23,91.3,"['235', '134']"
model215.csv,20,25,80.0,"['235', '135', '125', '15', '23']"
model83.csv,17,22,77.3,"['145', '135', '125', '25', '15']"
model341.csv,21,24,87.5,"['234', '25', '23']"
model379.csv,17,19,89.5,"['235', '15']"
model445.csv,19,21,90.5,"['235', '234']"
model31.csv,16,16,100.0,[]
model144.csv,22,25,88.0,"['234', '34', '23']"
model38.csv,16,20,80.0,"['125', '134', '25', '15']"
model320.csv,18,24,75.0,"['234', '125', '35', '25', '34', '24']"
model24.csv,17,22,77.3,"['234', '125', '134', '25', '24']"
model233.csv,17,18,94.4,['234']
model295.csv,16,18,88.9,"['145', '234']"
model299.csv,18,20,90.0,"['145', '234']"
model284.csv,17,24,70.8,"['135', '234', '125', '35', '25', '34', '15']"
model421.csv,22,26,84.6,"['234', '124', '24', '23']"
model198.csv,20,24,83.3,"['135', '125', '25', '15']"
model235.csv,18,19,94.7,['234']
model278.csv,17,23,73.9,"['234', '125', '35', '25', '34', '24']"
model244.csv,18,22,81.8,"['234', '25', '34', '24']"
model315.csv,20,24,83.3,"['125', '124', '25', '15']"
model227.csv,19,26,73.1,"['235', '145', '234', '125', '24', '15', '23']"
model124.csv,18,23,78.3,"['235', '135', '125', '25', '15']"
model35.csv,18,19,94.7,['15']
model371.csv,19,24,79.2,"['234', '125', '35', '25', '34']"
model327.csv,16,18,88.9,"['235', '234']"
model222.csv,20,26,76.9,"['145', '234', '34', '24', '15', '14']"
model43.csv,18,21,85.7,"['125', '25', '15']"
model292.csv,15,16,93.8,['145']
model510.csv,17,27,63.0,"['235', '145', '234', '125', '123', '25', '34', '24', '15', '23']"
model220.csv,21,26,80.8,"['145', '135', '34', '15', '14']"
model462.csv,18,25,72.0,"['145', '234', '124', '34', '24', '15', '14']"
model148.csv,16,18,88.9,"['145', '15']"
model515.csv,21,27,77.8,"['234', '134', '45', '34', '24', '23']"
model423.csv,16,17,94.1,['145']
model147.csv,16,17,94.1,['145']
model461.csv,18,25,72.0,"['145', '135', '234', '124', '34', '15', '14']"
model476.csv,19,26,73.1,"['145', '135', '134', '124', '34', '15', '14']"
model442.csv,18,20,90.0,"['235', '15']"
model321.csv,18,24,75.0,"['234', '125', '124', '25', '34', '24']"
model160.csv,17,21,81.0,"['145', '134', '125', '34']"
model254.csv,18,23,78.3,"['234', '134', '35', '34', '24']"
model479.csv,20,26,76.9,"['235', '125', '35', '25', '15', '23']"
model355.csv,15,16,93.8,['145']
model7.csv,17,20,85.0,"['125', '25', '15']"
model411.csv,19,25,76.0,"['234', '134', '35', '34', '24', '23']"
model344.csv,19,25,76.0,"['145', '125', '124', '25', '15', '14']"
model337.csv,18,23,78.3,"['235', '234', '25', '34', '24']"
model308.csv,19,23,82.6,"['145', '125', '25', '15']"
model467.csv,17,25,68.0,"['235', '145', '234', '35', '34', '24', '15', '23']"
model94.csv,17,23,73.9,"['145', '234', '125', '134', '25', '24']"
model62.csv,21,24,87.5,"['135', '125', '15']"
model13.csv,18,21,85.7,"['125', '25', '15']"
model403.csv,18,25,72.0,"['235', '135', '125', '35', '25', '15', '23']"
model164.csv,18,22,81.8,"['145', '134', '125', '34']"
model481.csv,17,26,65.4,"['235', '135', '234', '125', '35', '25', '34', '15', '23']"
model274.csv,16,23,69.6,"['135', '234', '125', '35', '25', '34', '15']"
model325.csv,16,17,94.1,['235']
model310.csv,17,23,73.9,"['145', '135', '234', '25', '34', '15']"
model219.csv,21,25,84.0,"['234', '125', '24', '23']"
model110.csv,16,20,80.0,"['235', '134', '125', '34']"
model229.csv,22,26,84.6,"['234', '125', '24', '23']"
model305.csv,16,22,72.7,"['145', '135', '234', '134', '34', '15']"
model273.csv,19,23,82.6,"['125', '124', '25', '15']"
model248.csv,16,23,69.6,"['135', '234', '125', '35', '25', '34', '15']"
model6.csv,18,19,94.7,['234']
model446.csv,20,22,90.9,"['235', '25']"
model185.csv,15,21,71.4,"['235', '234', '125', '134', '25', '34']"
model212.csv,19,25,76.0,"['145', '234', '34', '24', '15', '14']"
model145.csv,22,25,88.0,"['234', '125', '23']"
model45.csv,17,21,81.0,"['234', '125', '25', '34']"
model4.csv,17,18,94.4,['234']
model281.csv,18,23,78.3,"['234', '134', '124', '34', '24']"
model400.csv,17,25,68.0,"['145', '234', '125', '124', '25', '24', '15', '14']"
model138.csv,20,24,83.3,"['234', '134', '34', '23']"
model334.csv,19,23,82.6,"['235', '125', '25', '15']"
model405.csv,16,25,64.0,"['235', '145', '234', '125', '35', '25', '24', '15', '23']"
model412.csv,19,25,76.0,"['234', '134', '124', '34', '24', '23']"
model437.csv,16,17,94.1,['235']
model376.csv,16,17,94.1,['235']
model252.csv,17,23,73.9,"['234', '125', '35', '25', '34', '24']"
model452.csv,19,24,79.2,"['135', '234', '25', '34', '15']"
model352.csv,20,25,80.0,"['234', '125', '124', '25', '23']"
