model,critical_length,minimal_number_of_queries,number_of_non_explainable,all_explainable_minimal_number_of_queries
model74830.csv,18,7,15,22
model110629.csv,16,7,12,19
model55488.csv,12,6,19,25
model10699.csv,8,6,2,8
model17754.csv,11,6,14,20
model65985.csv,13,8,12,20
model73744.csv,16,8,14,22
model66873.csv,16,11,10,21
model39196.csv,18,8,12,20
model14475.csv,12,7,7,14
model103466.csv,14,7,12,19
model21467.csv,15,7,15,22
model85606.csv,16,6,12,18
model45318.csv,15,8,7,15
model114049.csv,16,6,21,27
model118140.csv,12,8,8,16
model13568.csv,14,8,13,21
model115256.csv,15,6,20,26
model90571.csv,16,7,14,21
model28995.csv,15,8,18,26
model58178.csv,15,7,18,25
model23462.csv,16,6,22,28
model108805.csv,14,8,6,14
model56472.csv,11,8,6,14
model24966.csv,11,6,10,16
model59147.csv,12,7,11,18
model43251.csv,16,9,10,19
model91905.csv,13,7,18,25
model8593.csv,13,8,18,26
model40504.csv,16,9,15,24
model76142.csv,16,6,14,20
model24018.csv,13,7,7,14
model8033.csv,12,7,21,28
model3519.csv,13,7,16,23
model62815.csv,15,8,12,20
model6188.csv,12,7,18,25
model11431.csv,12,7,8,15
model68913.csv,16,7,15,22
model115271.csv,11,6,22,28
model86816.csv,17,6,14,20
model58770.csv,12,8,9,17
model1020.csv,10,7,11,18
model106369.csv,15,6,17,23
model87879.csv,15,8,5,13
model7201.csv,14,7,19,26
model113886.csv,15,7,18,25
model121105.csv,15,8,19,27
model3212.csv,14,9,15,24
model9140.csv,12,7,20,27
model46559.csv,14,7,15,22
model93926.csv,17,7,12,19
model11468.csv,11,7,2,9
model21048.csv,14,6,17,23
model106.csv,9,7,11,18
model107296.csv,13,6,8,14
model72054.csv,14,10,11,21
model51915.csv,15,7,18,25
model78072.csv,14,7,12,19
model8173.csv,13,10,12,22
model118221.csv,13,6,7,13
model61781.csv,12,6,5,11
model89330.csv,14,8,11,19
model116542.csv,13,7,18,25
model58887.csv,12,8,7,15
model64917.csv,13,7,11,18
model2362.csv,12,6,14,20
model70740.csv,12,8,15,23
model21457.csv,16,7,15,22
model103907.csv,15,6,13,19
model13737.csv,13,7,5,12
model81370.csv,14,7,5,12
model49317.csv,14,9,19,28
model12784.csv,11,7,13,20
model98180.csv,16,8,19,27
model19867.csv,13,6,18,24
model67621.csv,14,7,15,22
model113388.csv,13,7,19,26
model81447.csv,13,6,13,19
model31270.csv,15,6,21,27
model14165.csv,15,7,14,21
model72667.csv,16,7,10,17
model123110.csv,15,7,20,27
model43886.csv,15,7,10,17
model31402.csv,14,7,20,27
model119278.csv,16,7,18,25
model59635.csv,10,7,0,7
model29576.csv,13,7,16,23
model11367.csv,12,6,14,20
model114448.csv,15,6,22,28
model8566.csv,13,8,18,26
model82846.csv,16,8,17,25
model51131.csv,14,7,21,28
model94305.csv,17,6,16,22
model12426.csv,13,7,16,23
model28565.csv,11,6,14,20
model65677.csv,15,6,9,15
model33351.csv,11,6,21,27
model28531.csv,11,8,4,12
model17157.csv,13,9,18,27
model99067.csv,13,7,4,11
model97673.csv,20,12,14,26
model118913.csv,13,6,20,26
model73973.csv,16,7,13,20
model53220.csv,14,8,8,16
model39297.csv,13,6,12,18
model100211.csv,14,8,8,16
model24323.csv,15,9,16,25
model68171.csv,13,9,17,26
model53661.csv,17,8,15,23
model3126.csv,13,8,15,23
model82016.csv,16,7,17,24
model39322.csv,17,7,13,20
model43939.csv,13,8,12,20
model92119.csv,15,9,16,25
model60044.csv,12,9,3,12
model71099.csv,14,9,13,22
model121212.csv,17,7,20,27
model91045.csv,18,10,13,23
model67508.csv,14,7,14,21
model116891.csv,12,6,8,14
model68063.csv,16,6,13,19
model75224.csv,19,6,15,21
model8785.csv,10,6,20,26
model115715.csv,17,10,8,18
