model,critical_length,minimal_number_of_queries,non_trivial_critical_pairs,non_trivial_deduced_critical_pairs
model74830.csv,18,7,9,4
model110629.csv,16,7,8,3
model73744.csv,16,8,7,1
model39196.csv,18,8,10,3
model14475.csv,12,7,4,2
model103466.csv,14,7,6,1
model21467.csv,15,7,8,2
model85606.csv,16,6,7,3
model45318.csv,15,8,7,3
model114049.csv,16,6,8,4
model118140.csv,12,8,5,1
model115256.csv,15,6,8,3
model90571.csv,16,7,7,2
model28995.csv,15,8,8,1
model58178.csv,15,7,9,2
model23462.csv,16,6,8,4
model108805.csv,14,8,6,1
model24966.csv,11,6,5,2
model59147.csv,12,7,5,2
model43251.csv,16,9,9,3
model91905.csv,13,7,5,1
model8593.csv,13,8,7,1
model40504.csv,16,9,9,2
model76142.csv,16,6,7,4
model24018.csv,13,7,5,2
model8033.csv,12,7,6,1
model3519.csv,13,7,7,2
model62815.csv,15,8,7,2
model6188.csv,12,7,5,1
model68913.csv,16,7,7,3
model115271.csv,11,6,4,1
model86816.csv,17,6,8,4
model1020.csv,10,7,4,1
model106369.csv,15,6,7,3
model87879.csv,15,8,6,1
model7201.csv,14,7,7,2
model113886.csv,15,7,7,1
model121105.csv,15,8,8,1
model3212.csv,14,9,9,2
model46559.csv,14,7,6,2
model93926.csv,17,7,8,2
model21048.csv,14,6,6,2
model107296.csv,13,6,5,2
model72054.csv,14,10,6,1
model51915.csv,15,7,8,1
model78072.csv,14,7,7,3
model118221.csv,13,6,6,1
model61781.csv,12,6,4,1
model89330.csv,14,8,6,1
model116542.csv,13,7,6,1
model64917.csv,13,7,5,2
model2362.csv,12,6,5,1
model21457.csv,16,7,8,2
model103907.csv,15,6,7,3
model13737.csv,13,7,5,2
model81370.csv,14,7,6,1
model12784.csv,11,7,5,1
model98180.csv,16,8,9,3
model19867.csv,13,6,6,2
model67621.csv,14,7,5,1
model31270.csv,15,6,8,4
model14165.csv,15,7,8,3
model72667.csv,16,7,8,3
model123110.csv,15,7,9,3
model43886.csv,15,7,8,2
model31402.csv,14,7,8,3
model119278.csv,16,7,9,2
model29576.csv,13,7,7,2
model11367.csv,12,6,5,3
model114448.csv,15,6,7,4
model8566.csv,13,8,7,1
model82846.csv,16,8,9,3
model51131.csv,14,7,7,3
model94305.csv,17,6,8,3
model12426.csv,13,7,7,2
model28565.csv,11,6,5,2
model65677.csv,15,6,6,2
model33351.csv,11,6,6,2
model28531.csv,11,8,4,1
model99067.csv,13,7,5,2
model97673.csv,20,12,12,1
model118913.csv,13,6,6,1
model73973.csv,16,7,7,3
model53220.csv,14,8,6,2
model39297.csv,13,6,7,2
model53661.csv,17,8,9,2
model3126.csv,13,8,7,1
model82016.csv,16,7,8,2
model39322.csv,17,7,10,5
model43939.csv,13,8,6,2
model121212.csv,17,7,10,4
model91045.csv,18,10,10,2
model67508.csv,14,7,6,1
model116891.csv,12,6,5,1
model68063.csv,16,6,7,2
model75224.csv,19,6,10,4
model115715.csv,17,10,10,1
model117565.csv,13,8,6,1
model83808.csv,16,8,8,1
model64743.csv,15,9,6,1
model113374.csv,14,8,7,1
model5225.csv,12,6,5,1
model27029.csv,13,7,7,3
model24031.csv,12,6,4,1
model14844.csv,15,8,7,1
model89225.csv,12,6,4,1
model113296.csv,17,7,9,3
model97069.csv,14,7,6,1
model120242.csv,16,7,9,3
model104576.csv,15,6,7,2
model47024.csv,15,8,7,1
model119513.csv,17,6,10,5
model99866.csv,14,6,6,3
model100271.csv,14,8,6,1
model51307.csv,13,7,6,1
model23237.csv,15,8,8,2
model36864.csv,15,8,8,1
model78252.csv,13,7,6,3
model95910.csv,15,7,7,1
model108257.csv,14,6,6,1
model120236.csv,16,9,9,1
model113899.csv,15,6,7,3
model48206.csv,17,8,9,2
model7183.csv,14,9,7,1
model74038.csv,17,8,8,1
model92926.csv,18,9,9,2
model32561.csv,16,8,9,3
model32840.csv,16,7,9,4
model82431.csv,16,6,8,3
model57363.csv,11,7,5,1
model44536.csv,14,7,7,2
model103061.csv,16,8,8,3
model15405.csv,13,8,6,1
model48799.csv,13,6,5,1
model29691.csv,14,6,9,4
model84608.csv,16,8,9,1
model71973.csv,14,9,5,1
model102245.csv,13,7,6,3
model101316.csv,13,6,5,1
model89898.csv,13,6,4,1
model99007.csv,15,8,7,2
model49809.csv,14,8,6,1
model114746.csv,17,7,10,3
model93991.csv,17,7,8,2
model47084.csv,15,8,7,2
model119063.csv,16,6,9,3
model56994.csv,14,7,7,1
model91575.csv,15,6,6,2
model14877.csv,16,8,8,2
model87400.csv,15,7,6,2
